MSA,COUNTY,CITY,C.O.L
Los Angeles-Long Beach-Glendale ,Los Angeles,Lakewood,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Lancaster,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Lawndale,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Lomita,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Long Beach,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Los Angeles,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Lynwood,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Malibu,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Manhattan Beach,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Maywood,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Monrovia,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Montebello,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Monterey Park,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Norwalk,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Palmdale,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Palos Verdes Estates,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Paramount,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Pasadena,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Pico Rivera,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Pomona,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Rancho Palos Verdes,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Redondo Beach,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Rolling Hills,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Rolling Hills Estates,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Rosemead,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,San Dimas,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,San Fernando,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,San Gabriel,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,San Marino,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Santa Clarita,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Santa Fe Springs,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Santa Monica,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Sierra Madre,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Signal Hill,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,South El Monte,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,South Gate,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,South Pasadena,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Temple City,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Torrance,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Vernon,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Walnut,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,West Covina,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,West Hollywood,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Westlake Village,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Whittier,136.4
Oakland-Hayward-Berkeley ,Alameda,Alameda,139.1
Oakland-Hayward-Berkeley ,Alameda,Albany,139.1
Oakland-Hayward-Berkeley ,Alameda,Berkeley,139.1
Oakland-Hayward-Berkeley ,Alameda,Dublin,139.1
Oakland-Hayward-Berkeley ,Alameda,Emeryville,139.1
Oakland-Hayward-Berkeley ,Alameda,Fremont,139.1
Oakland-Hayward-Berkeley ,Alameda,Hayward,139.1
Oakland-Hayward-Berkeley ,Alameda,Livermore,139.1
Oakland-Hayward-Berkeley ,Alameda,Newark,139.1
Oakland-Hayward-Berkeley ,Alameda,Oakland,139.1
Oakland-Hayward-Berkeley ,Alameda,Piedmont,139.1
Oakland-Hayward-Berkeley ,Alameda,Pleasanton,139.1
Oakland-Hayward-Berkeley ,Alameda,San Leandro,139.1
Oakland-Hayward-Berkeley ,Alameda,Union City,139.1
Oakland-Hayward-Berkeley ,Contra Costa,Antioch,139.1
Oakland-Hayward-Berkeley ,Contra Costa,Brentwood,139.1
Oakland-Hayward-Berkeley ,Contra Costa,Clayton,139.1
Oakland-Hayward-Berkeley ,Contra Costa,Concord,139.1
Oakland-Hayward-Berkeley ,Contra Costa,El Cerrito,139.1
Oakland-Hayward-Berkeley ,Contra Costa,Hercules,139.1
Oakland-Hayward-Berkeley ,Contra Costa,Lafayette,139.1
Oakland-Hayward-Berkeley ,Contra Costa,Martinez,139.1
Oakland-Hayward-Berkeley ,Contra Costa,Oakley,139.1
Oakland-Hayward-Berkeley ,Contra Costa,Orinda,139.1
Oakland-Hayward-Berkeley ,Contra Costa,Pinole,139.1
Oakland-Hayward-Berkeley ,Contra Costa,Pittsburg,139.1
Oakland-Hayward-Berkeley ,Contra Costa,Pleasant Hill,139.1
Oakland-Hayward-Berkeley ,Contra Costa,Richmond,139.1
Oakland-Hayward-Berkeley ,Contra Costa,San Pablo,139.1
Oakland-Hayward-Berkeley ,Contra Costa,San Ramon,139.1
Oakland-Hayward-Berkeley ,Contra Costa,Walnut Creek,139.1
Riverside-San Bernardino-Ontario ,Riverside,Banning,112.5
Riverside-San Bernardino-Ontario ,Riverside,Beaumont,112.5
Riverside-San Bernardino-Ontario ,Riverside,Blythe,112.5
Riverside-San Bernardino-Ontario ,Riverside,Calimesa,112.5
Riverside-San Bernardino-Ontario ,Riverside,Canyon Lake,112.5
Riverside-San Bernardino-Ontario ,Riverside,Cathedral City,112.5
Riverside-San Bernardino-Ontario ,Riverside,Coachella,112.5
Riverside-San Bernardino-Ontario ,Riverside,Corona,112.5
Riverside-San Bernardino-Ontario ,Riverside,Desert Hot Springs,112.5
Riverside-San Bernardino-Ontario ,Riverside,Eastvale,112.5
Riverside-San Bernardino-Ontario ,Riverside,Hemet,112.5
Riverside-San Bernardino-Ontario ,Riverside,Indian Wells,112.5
Riverside-San Bernardino-Ontario ,Riverside,Indio,112.5
Riverside-San Bernardino-Ontario ,Riverside,Jurupa Valley,112.5
Riverside-San Bernardino-Ontario ,Riverside,La Quinta,112.5
Riverside-San Bernardino-Ontario ,Riverside,Lake Elsinore,112.5
Riverside-San Bernardino-Ontario ,Riverside,Menifee,112.5
Riverside-San Bernardino-Ontario ,Riverside,Moreno Valley,112.5
Riverside-San Bernardino-Ontario ,Riverside,Murrieta,112.5
Riverside-San Bernardino-Ontario ,Riverside,Norco,112.5
Riverside-San Bernardino-Ontario ,Riverside,Palm Desert,112.5
Riverside-San Bernardino-Ontario ,Riverside,Palm Springs,112.5
Riverside-San Bernardino-Ontario ,Riverside,Perris,112.5
Riverside-San Bernardino-Ontario ,Riverside,Rancho Mirage,112.5
Riverside-San Bernardino-Ontario ,Riverside,Riverside,112.5
Riverside-San Bernardino-Ontario ,Riverside,San Jacinto,112.5
Riverside-San Bernardino-Ontario ,Riverside,Temecula,112.5
Riverside-San Bernardino-Ontario ,Riverside,Wildomar,112.5
Riverside-San Bernardino-Ontario ,San Bernardino,Adelanto,112.5
Riverside-San Bernardino-Ontario ,San Bernardino,Barstow,112.5
Riverside-San Bernardino-Ontario ,San Bernardino,Big Bear Lake,112.5
Riverside-San Bernardino-Ontario ,San Bernardino,Chino,112.5
Riverside-San Bernardino-Ontario ,San Bernardino,Chino Hills,112.5
Riverside-San Bernardino-Ontario ,San Bernardino,Colton,112.5
Riverside-San Bernardino-Ontario ,San Bernardino,Fontana,112.5
Riverside-San Bernardino-Ontario ,San Bernardino,Grand Terrace,112.5
Riverside-San Bernardino-Ontario ,San Bernardino,Hesperia,112.5
Riverside-San Bernardino-Ontario ,San Bernardino,Highland,112.5
Riverside-San Bernardino-Ontario ,San Bernardino,Loma Linda,112.5
Riverside-San Bernardino-Ontario ,San Bernardino,Montclair,112.5
Riverside-San Bernardino-Ontario ,San Bernardino,Needles,112.5
Riverside-San Bernardino-Ontario ,San Bernardino,Ontario,112.5
Riverside-San Bernardino-Ontario ,San Bernardino,Rancho Cucamonga,112.5
Riverside-San Bernardino-Ontario ,San Bernardino,Redlands,112.5
Riverside-San Bernardino-Ontario ,San Bernardino,Rialto,112.5
Riverside-San Bernardino-Ontario ,San Bernardino,San Bernardino,112.5
Riverside-San Bernardino-Ontario ,San Bernardino,Twentynine Palms,112.5
Riverside-San Bernardino-Ontario ,San Bernardino,Upland,112.5
Riverside-San Bernardino-Ontario ,San Bernardino,Victorville,112.5
Riverside-San Bernardino-Ontario ,San Bernardino,Yucaipa,112.5
Sacramento-Roseville-Arden-Arcade ,El Dorado,Placerville,116.2
Sacramento-Roseville-Arden-Arcade ,El Dorado,South Lake Tahoe,116.2
Sacramento-Roseville-Arden-Arcade ,Placer,Auburn,116.2
Sacramento-Roseville-Arden-Arcade ,Placer,Colfax,116.2
Sacramento-Roseville-Arden-Arcade ,Placer,Lincoln,116.2
Sacramento-Roseville-Arden-Arcade ,Placer,Rocklin,116.2
Sacramento-Roseville-Arden-Arcade ,Placer,Roseville,116.2
Sacramento-Roseville-Arden-Arcade ,Sacramento,Citrus Heights,116.2
Sacramento-Roseville-Arden-Arcade ,Sacramento,Elk Grove,116.2
Sacramento-Roseville-Arden-Arcade ,Sacramento,Folsom,116.2
Sacramento-Roseville-Arden-Arcade ,Sacramento,Galt,116.2
Sacramento-Roseville-Arden-Arcade ,Sacramento,Isleton,116.2
Sacramento-Roseville-Arden-Arcade ,Sacramento,Rancho Cordova,116.2
Sacramento-Roseville-Arden-Arcade ,Sacramento,Sacramento,116.2
Sacramento-Roseville-Arden-Arcade ,Yolo,Davis,116.2
Sacramento-Roseville-Arden-Arcade ,Yolo,West Sacramento,116.2
Sacramento-Roseville-Arden-Arcade ,Yolo,Winters,116.2
Sacramento-Roseville-Arden-Arcade ,Yolo,Woodland,116.2
San Diego-Carlsbad ,San Diego,Carlsbad,132.3
San Diego-Carlsbad ,San Diego,Chula Vista,132.3
San Diego-Carlsbad ,San Diego,Coronado,132.3
San Diego-Carlsbad ,San Diego,Del Mar,132.3
San Diego-Carlsbad ,San Diego,El Cajon,132.3
San Diego-Carlsbad ,San Diego,Encinitas,132.3
San Diego-Carlsbad ,San Diego,Escondido,132.3
San Diego-Carlsbad ,San Diego,Imperial Beach,132.3
San Diego-Carlsbad ,San Diego,La Mesa,132.3
San Diego-Carlsbad ,San Diego,Lemon Grove,132.3
San Diego-Carlsbad ,San Diego,National City,132.3
San Diego-Carlsbad ,San Diego,Oceanside,132.3
San Diego-Carlsbad ,San Diego,Poway,132.3
San Diego-Carlsbad ,San Diego,San Diego,132.3
San Diego-Carlsbad ,San Diego,San Marcos,132.3
San Diego-Carlsbad ,San Diego,Santee,132.3
San Diego-Carlsbad ,San Diego,Solana Beach,132.3
San Diego-Carlsbad ,San Diego,Vista,132.3
San Francisco-Redwood City-South San Francisco ,San Mateo,Belmont,164
San Francisco-Redwood City-South San Francisco ,San Mateo,Brisbane,164
San Francisco-Redwood City-South San Francisco ,San Mateo,Burlingame,164
San Francisco-Redwood City-South San Francisco ,San Mateo,Daly City,164
San Francisco-Redwood City-South San Francisco ,San Mateo,East Palo Alto,164
San Francisco-Redwood City-South San Francisco ,San Mateo,Foster City,164
San Francisco-Redwood City-South San Francisco ,San Mateo,Half Moon Bay,164
San Francisco-Redwood City-South San Francisco ,San Mateo,Menlo Park,164
San Francisco-Redwood City-South San Francisco ,San Mateo,Millbrae,164
San Francisco-Redwood City-South San Francisco ,San Mateo,Pacifica,164
San Francisco-Redwood City-South San Francisco ,San Mateo,Redwood City,164
San Francisco-Redwood City-South San Francisco ,San Mateo,San Bruno,164
San Francisco-Redwood City-South San Francisco ,San Mateo,San Carlos,164
San Francisco-Redwood City-South San Francisco ,San Mateo,San Mateo,164
San Francisco-Redwood City-South San Francisco ,San Mateo,South San Francisco,164
San Jose-Sunnyvale-Santa Clara ,San Benito,Hollister,156.1
San Jose-Sunnyvale-Santa Clara ,San Benito,San Juan Bautista,156.1
San Jose-Sunnyvale-Santa Clara ,Santa Clara,Campbell,156.1
San Jose-Sunnyvale-Santa Clara ,Santa Clara,Cupertino,156.1
San Jose-Sunnyvale-Santa Clara ,Santa Clara,Gilroy,156.1
San Jose-Sunnyvale-Santa Clara ,Santa Clara,Los Altos,156.1
San Jose-Sunnyvale-Santa Clara ,Santa Clara,Milpitas,156.1
San Jose-Sunnyvale-Santa Clara ,Santa Clara,Monte Sereno,156.1
San Jose-Sunnyvale-Santa Clara ,Santa Clara,Morgan Hill,156.1
San Jose-Sunnyvale-Santa Clara ,Santa Clara,Mountain View,156.1
San Jose-Sunnyvale-Santa Clara ,Santa Clara,Palo Alto,156.1
San Jose-Sunnyvale-Santa Clara ,Santa Clara,San Jose,156.1
San Jose-Sunnyvale-Santa Clara ,Santa Clara,Santa Clara,156.1
San Jose-Sunnyvale-Santa Clara ,Santa Clara,Saratoga,156.1
San Jose-Sunnyvale-Santa Clara ,Santa Clara,Sunnyvale,156.1
San Jose-Sunnyvale-Santa Clara ,Santa Cruz,Capitola,156.1
San Jose-Sunnyvale-Santa Clara ,Santa Cruz,Santa Cruz,156.1
San Jose-Sunnyvale-Santa Clara ,Santa Cruz,Scotts Valley,156.1
San Jose-Sunnyvale-Santa Clara ,Santa Cruz,Watsonville,156.1
